銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
スターティア(株),3393,東証1部,卸売業,2010年1月4日,207円買い,2010年12月16日,2430円売り,2223円,1073.91%(11.74倍)
(株)フルキャストホールディングス,4848,東証1部,サービス業,2010年10月29日,34.9円買い,2010年12月7日,279.9円売り,245円,702.01%(8.02倍)
(株)豆蔵ホールディングス,3756,東証1部,情報・通信業,2010年2月16日,57.92円買い,2010年12月21日,308.17円売り,250.25円,432.06%(5.32倍)
(株)ツガミ,6101,東証1部,機械,2010年1月7日,217円買い,2010年6月22日,769円売り,552円,254.38%(3.54倍)
富士機工(株),7260,東証1部,輸送用機器,2010年1月4日,93円買い,2010年3月18日,329円売り,236円,253.76%(3.54倍)
スカイマーク(株),9204,東証1部,空運業,2010年5月26日,337円買い,2010年12月30日,1185円売り,848円,251.63%(3.52倍)
(株)アーク,7873,東証1部,その他製品,2010年3月11日,51円買い,2010年4月28日,171円売り,120円,235.29%(3.35倍)
大同メタル工業(株),7245,東証1部,輸送用機器,2010年2月9日,204円買い,2010年12月9日,672円売り,468円,229.41%(3.29倍)
(株)ルック,8029,東証1部,繊維製品,2010年2月24日,77円買い,2010年6月1日,246円売り,169円,219.48%(3.19倍)
黒崎播磨(株),5352,東証1部,ガラス土石製品,2010年1月7日,160円買い,2010年4月13日,504円売り,344円,215%(3.15倍)
(株)レナウン,3606,東証1部,繊維製品,2010年5月21日,141円買い,2010年6月2日,440円売り,299円,212.06%(3.12倍)
(株)サンリオ,8136,東証1部,卸売業,2010年2月1日,698円買い,2010年11月19日,2131円売り,1433円,205.3%(3.05倍)
(株)エス・サイエンス,5721,東証1部,非鉄金属,2010年10月18日,10円買い,2010年12月27日,30円売り,20円,200%(3倍)
(株)ハニーズ,2792,東証1部,小売業,2010年1月4日,520円買い,2010年7月28日,1532円売り,1012円,194.62%(2.95倍)
日本ピストンリング(株),6461,東証1部,機械,2010年2月12日,86円買い,2010年12月16日,246円売り,160円,186.05%(2.86倍)
アクリーティブ(株),8423,東証1部,その他金融業,2010年2月9日,70.2円買い,2010年4月22日,200円売り,129.8円,184.9%(2.85倍)
(株)ＴＢＫ,7277,東証1部,輸送用機器,2010年1月7日,157円買い,2010年12月15日,439円売り,282円,179.62%(2.8倍)
(株)ジーンズメイト,7448,東証1部,小売業,2010年10月19日,146円買い,2010年12月14日,408円売り,262円,179.45%(2.79倍)
旭ダイヤモンド工業(株),6140,東証1部,機械,2010年2月8日,612円買い,2010年10月6日,1700円売り,1088円,177.78%(2.78倍)
アルテック(株),9972,東証1部,卸売業,2010年1月4日,147円買い,2010年3月17日,407円売り,260円,176.87%(2.77倍)
ＯＫＫ,6205,東証1部,機械,2010年2月8日,67円買い,2010年6月24日,184円売り,117円,174.63%(2.75倍)
山一電機(株),6941,東証1部,電気機器,2010年1月6日,170円買い,2010年5月18日,460円売り,290円,170.59%(2.71倍)
(株)ティー・ワイ・オー,4358,東証1部,情報・通信業,2010年8月24日,30円買い,2010年9月9日,79円売り,49円,163.33%(2.63倍)
塩水港精糖(株),2112,東証1部,食料品,2010年10月29日,138円買い,2010年12月13日,355円売り,217円,157.25%(2.57倍)
バリューコマース(株),2491,東証1部,サービス業,2010年2月5日,78.7円買い,2010年4月23日,202円売り,123.3円,156.67%(2.57倍)
(株)キャリアデザインセンター,2410,東証1部,サービス業,2010年2月24日,66.7円買い,2010年4月19日,169円売り,102.3円,153.37%(2.53倍)
プレス工業(株),7246,東証1部,輸送用機器,2010年2月1日,155円買い,2010年12月30日,390円売り,235円,151.61%(2.52倍)
ショットモリテックス(株),7714,東証1部,精密機器,2010年11月2日,219円買い,2010年11月19日,548円売り,329円,150.23%(2.5倍)
(株)キムラタン,8107,東証1部,繊維製品,2010年11月17日,2円買い,2010年12月30日,5円売り,3円,150%(2.5倍)
クラリオン(株),6796,東証1部,電気機器,2010年1月5日,93円買い,2010年4月5日,232円売り,139円,149.46%(2.49倍)
ＪＵＫＩ(株),6440,東証1部,機械,2010年2月12日,87円買い,2010年4月14日,217円売り,130円,149.43%(2.49倍)
ＴＰＲ(株),6463,東証1部,機械,2010年2月1日,340円買い,2010年12月29日,836円売り,496円,145.88%(2.46倍)
(株)コナカ,7494,東証1部,小売業,2010年10月21日,155円買い,2010年12月28日,379円売り,224円,144.52%(2.45倍)
日本カーバイド工業(株),4064,東証1部,化学,2010年2月1日,106円買い,2010年10月7日,258円売り,152円,143.4%(2.43倍)
(株)アドバネクス,5998,東証1部,金属製品,2010年2月12日,59円買い,2010年6月11日,143円売り,84円,142.37%(2.42倍)
ネオス(株),3627,東証1部,情報・通信業,2010年2月16日,515.67円買い,2010年12月21日,1240円売り,724.33円,140.46%(2.4倍)
(株)スタートトゥデイ,3092,東証1部,小売業,2010年2月25日,471.95円買い,2010年12月15日,1129.89円売り,657.94円,139.41%(2.39倍)
ソースネクスト(株),4344,東証1部,情報・通信業,2010年1月14日,84.85円買い,2010年3月24日,202.5円売り,117.65円,138.66%(2.39倍)
(株)パル,2726,東証1部,小売業,2010年1月8日,803.5円買い,2010年7月15日,1902.5円売り,1099円,136.78%(2.37倍)
ＫＹＢ,7242,東証1部,輸送用機器,2010年2月8日,267円買い,2010年12月28日,631円売り,364円,136.33%(2.36倍)
(株)タカラレーベン,8897,東証1部,不動産業,2010年5月25日,78.19円買い,2010年12月30日,183.75円売り,105.56円,135.01%(2.35倍)
(株)北川鉄工所,6317,東証1部,機械,2010年1月4日,83円買い,2010年4月9日,195円売り,112円,134.94%(2.35倍)
(株)井筒屋,8260,東証1部,小売業,2010年2月12日,32円買い,2010年4月16日,75円売り,43円,134.38%(2.34倍)
(株)栗本鐵工所,5602,東証1部,鉄鋼,2010年2月1日,81円買い,2010年3月31日,187円売り,106円,130.86%(2.31倍)
(株)ヨータイ,5357,東証1部,ガラス土石製品,2010年2月9日,173円買い,2010年7月30日,395円売り,222円,128.32%(2.28倍)
シップヘルスケアホールディングス(株),3360,東証1部,卸売業,2010年2月23日,475円買い,2010年12月21日,1084円売り,609円,128.21%(2.28倍)
鬼怒川ゴム工業(株),5196,東証1部,輸送用機器,2010年1月4日,207円買い,2010年4月13日,472円売り,265円,128.02%(2.28倍)
豊和工業(株),6203,東証1部,機械,2010年2月10日,460円買い,2010年4月14日,1040円売り,580円,126.09%(2.26倍)
(株)石川製作所,6208,東証1部,機械,2010年2月25日,50円買い,2010年4月14日,113円売り,63円,126%(2.26倍)
(株)河合楽器製作所,7952,東証1部,その他製品,2010年2月1日,102円買い,2010年3月29日,230円売り,128円,125.49%(2.25倍)
大阪有機化学工業(株),4187,東証1部,化学,2010年3月4日,368円買い,2010年6月21日,820円売り,452円,122.83%(2.23倍)
セイコーホールディングス(株),8050,東証1部,精密機器,2010年2月1日,155円買い,2010年6月23日,345円売り,190円,122.58%(2.23倍)
(株)東京個別指導学院,4745,東証1部,サービス業,2010年3月1日,141円買い,2010年6月24日,313円売り,172円,121.99%(2.22倍)
住江織物(株),3501,東証1部,繊維製品,2010年1月4日,110円買い,2010年4月21日,242円売り,132円,120%(2.2倍)
アンリツ(株),6754,東証1部,電気機器,2010年1月5日,305円買い,2010年12月30日,671円売り,366円,120%(2.2倍)
(株)滝澤鉄工所,6121,東証1部,機械,2010年1月4日,61円買い,2010年4月12日,134円売り,73円,119.67%(2.2倍)
いすゞ自動車(株),7202,東証1部,輸送用機器,2010年1月7日,176円買い,2010年11月25日,386円売り,210円,119.32%(2.19倍)
(株)システナ,2317,東証1部,情報・通信業,2010年2月19日,407円買い,2010年12月21日,887円売り,480円,117.94%(2.18倍)
日本調剤(株),3341,東証1部,小売業,2010年1月18日,1944円買い,2010年6月23日,4225円売り,2281円,117.34%(2.17倍)
理想科学工業(株),6413,東証1部,機械,2010年2月2日,700円買い,2010年12月8日,1520円売り,820円,117.14%(2.17倍)
飛島建設(株),1805,東証1部,建設業,2010年1月4日,90円買い,2010年4月15日,195円売り,105円,116.67%(2.17倍)
トーセイ(株),8923,東証1部,不動産業,2010年1月5日,203円買い,2010年5月14日,438円売り,235円,115.76%(2.16倍)
(株)ジャストシステム,4686,東証1部,情報・通信業,2010年2月1日,193円買い,2010年4月30日,415円売り,222円,115.03%(2.15倍)
ＧＭＢ(株),7214,東証1部,輸送用機器,2010年2月15日,631円買い,2010年12月24日,1355円売り,724円,114.74%(2.15倍)
ＷＤＢホールディングス(株),2475,東証1部,サービス業,2010年1月4日,163.5円買い,2010年12月30日,350円売り,186.5円,114.07%(2.14倍)
新日本無線(株),6911,東証1部,電気機器,2010年2月12日,174円買い,2010年3月30日,370円売り,196円,112.64%(2.13倍)
日本精線(株),5659,東証1部,鉄鋼,2010年1月4日,230円買い,2010年6月22日,485円売り,255円,110.87%(2.11倍)
日鉄住金物産(株),9810,東証1部,卸売業,2010年1月5日,142円買い,2010年6月14日,299円売り,157円,110.56%(2.11倍)
(株)ボルテージ,3639,東証1部,情報・通信業,2010年8月25日,545円買い,2010年12月28日,1147円売り,602円,110.46%(2.1倍)
ペガサスミシン製造(株),6262,東証1部,機械,2010年1月4日,148円買い,2010年3月8日,308円売り,160円,108.11%(2.08倍)
東洋機械金属(株),6210,東証1部,機械,2010年1月7日,147円買い,2010年4月26日,304円売り,157円,106.8%(2.07倍)
佐鳥電機(株),7420,東証1部,卸売業,2010年2月10日,460円買い,2010年4月22日,946円売り,486円,105.65%(2.06倍)
アイフル(株),8515,東証1部,その他金融業,2010年11月2日,21円買い,2010年11月17日,43円売り,22円,104.76%(2.05倍)
ラサ工業(株),4022,東証1部,化学,2010年10月5日,55円買い,2010年12月13日,112円売り,57円,103.64%(2.04倍)
(株)牧野フライス製作所,6135,東証1部,機械,2010年1月4日,354円買い,2010年4月12日,718円売り,364円,102.82%(2.03倍)
油研工業(株),6393,東証1部,機械,2010年2月15日,116円買い,2010年6月24日,234円売り,118円,101.72%(2.02倍)
(株)アーレスティ,5852,東証1部,非鉄金属,2010年1月5日,574円買い,2010年4月15日,1150円売り,576円,100.35%(2倍)
(株)テイクアンドギヴ・ニーズ,4331,東証1部,サービス業,2010年8月18日,414円買い,2010年12月29日,826円売り,412円,99.52%(2倍)
前田工繊(株),7821,東証1部,その他製品,2010年3月4日,122.6円買い,2010年5月6日,244.5円売り,121.9円,99.43%(1.99倍)
サカイオーベックス(株),3408,東証1部,繊維製品,2010年2月5日,76円買い,2010年7月27日,151円売り,75円,98.68%(1.99倍)
双信電機(株),6938,東証1部,電気機器,2010年11月2日,320円買い,2010年12月29日,635円売り,315円,98.44%(1.98倍)
(株)ユーシン,6985,東証1部,電気機器,2010年2月17日,473円買い,2010年4月26日,930円売り,457円,96.62%(1.97倍)
ケネディクス(株),4321,東証1部,サービス業,2010年9月9日,128.9円買い,2010年12月29日,252.8円売り,123.9円,96.12%(1.96倍)
日神不動産(株),8881,東証1部,不動産業,2010年1月12日,180円買い,2010年6月15日,352.5円売り,172.5円,95.83%(1.96倍)
