日経会社コード,企業名称,決算期,決算種別,連結基準,<貸借対照表（資産）>資産合計(百万円),<貸借対照表（資産）>固定資産／非流動資産(百万円),<貸借対照表（資産）>有形固定資産(百万円),<貸借対照表（資産）>償却対象有形固定資産(百万円),<貸借対照表（資産）>現金・預金／現金及び現金同等物(百万円),<貸借対照表（資産）>棚卸資産(百万円),<貸借対照表（資産）>その他棚卸資産(百万円)
0000001,極洋,1984/10,10,1,93094,24898,10828,9692,16300,19279,
0000001,極洋,1985/10,10,1,82267,21558,7033,5986,14433,17570,
0000001,極洋,1986/10,10,1,82394,20038,7418,6643,13787,17172,
0000001,極洋,1987/10,10,1,85497,18317,6835,6144,13887,20627,
0000001,極洋,1988/03,10,1,82382,17664,6541,5849,14008,17216,
0000001,極洋,1989/03,10,1,86649,15920,5648,4956,15217,20238,
0000001,極洋,1990/03,10,1,76786,16879,6487,5101,7534,13669,
0000001,極洋,1991/03,10,1,74061,16996,6575,4918,6977,14089,
0000001,極洋,1992/03,10,1,68312,14722,4781,3132,5690,17691,
0000001,極洋,1993/03,10,1,67760,15272,5620,3982,5428,16496,
0000001,極洋,1994/03,10,1,63693,13662,5082,3395,8120,14538,
0000001,極洋,1995/03,10,1,61692,13557,6096,4357,5503,16116,
0000001,極洋,1996/03,10,1,63287,12502,5618,3611,5097,15954,
0000001,極洋,1997/03,10,1,65883,13072,5989,4274,3875,19378,
0000001,極洋,1998/03,10,1,62766,12417,6036,4078,4557,18054,
0000001,極洋,1999/03,10,1,62109,12227,6927,4587,6307,16548,
0000001,極洋,2000/03,10,1,60885,15853,8188,4132,4951,18944,
0000001,極洋,2001/03,10,1,60599,15075,7868,3806,3818,19732,
0000001,極洋,2002/03,10,1,57069,13942,7292,3540,4185,19160,
0000001,極洋,2003/03,10,1,55373,14454,8513,4337,4015,18264,
0000001,極洋,2004/03,10,1,58562,18538,10639,7402,3456,18384,
0000001,極洋,2005/03,10,1,58506,16851,9249,6687,2775,19610,
0000001,極洋,2006/03,10,1,65049,20054,8774,6182,3089,22088,
0000001,極洋,2007/03,10,1,66459,18095,9209,6989,3141,24162,
0000001,極洋,2008/03,10,1,57373,16323,8777,6549,2886,20841,
0000001,極洋,2009/03,10,1,61184,17432,10231,6513,3786,21338,
0000001,極洋,2010/03,10,1,64301,19347,11568,8472,2732,23187,
0000001,極洋,2011/03,10,1,76925,20779,12331,8485,3382,29680,
0000001,極洋,2012/03,10,1,84937,20113,11574,7791,3496,33755,
0000001,極洋,2013/03,10,1,83245,20778,11281,7399,3888,32306,
0000001,極洋,2014/03,10,1,84319,21286,10597,6797,3456,31343,
0000001,極洋,2015/03,10,1,88937,19076,12241,7098,4140,35952,
0000001,極洋,2016/03,10,1,94608,24181,16972,12964,4099,37068,
0000001,極洋,2017/03,10,1,97391,25040,17137,12862,2641,36895,
0000001,極洋,2018/03,10,1,106297,25078,15377,11226,5046,39921,
0000001,極洋,2019/03,10,1,114673,25248,14981,11081,4818,44946,
0000001,極洋,2020/03,10,1,111184,25932,15976,11560,6522,41043,
0000003,日本水産,1984/03,10,1,243958,61568,37893,34196,31985,65061,
0000003,日本水産,1985/03,10,1,251229,61582,36060,30794,26828,70232,
0000003,日本水産,1986/03,10,1,265978,72339,42555,32459,27781,67195,
0000003,日本水産,1987/03,10,1,294201,81018,48577,42872,27290,80678,
0000003,日本水産,1988/03,10,1,289633,89313,51966,43200,30277,70557,
0000003,日本水産,1989/03,10,1,305818,97572,51032,43534,30089,79936,
0000003,日本水産,1990/03,10,1,308610,111468,58437,41288,33900,62071,
0000003,日本水産,1991/03,10,1,314054,113955,60738,47722,36093,60924,
0000003,日本水産,1992/03,10,1,314395,111324,59516,43971,31893,79460,
0000003,日本水産,1993/03,10,1,338190,117103,68310,47549,47229,62960,
0000003,日本水産,1994/03,10,1,282360,124549,76931,55580,22264,54884,
0000003,日本水産,1995/03,10,1,282158,119683,80229,62675,15126,60820,
0000003,日本水産,1996/03,10,1,271612,115564,77770,59346,16072,53672,
0000003,日本水産,1997/03,10,1,284528,124307,79832,59482,11852,59590,
0000003,日本水産,1998/03,10,1,292519,134020,85148,65310,14032,54937,
0000003,日本水産,1999/03,10,1,288067,131940,80297,58419,20343,49941,
0000003,日本水産,2000/03,10,1,293980,126385,82606,62441,29589,49425,
0000003,日本水産,2001/03,10,1,314712,156985,82609,62402,22472,55164,
0000003,日本水産,2002/03,10,1,337951,174740,81209,62254,23607,57936,
0000003,日本水産,2003/03,10,1,321254,172402,77778,59248,14311,62897,
0000003,日本水産,2004/03,10,1,326224,187721,82171,63476,6997,56449,
0000003,日本水産,2005/03,10,1,331519,190123,85915,66060,9125,55697,
0000003,日本水産,2006/03,10,1,384819,228154,93640,73795,12015,62125,
0000003,日本水産,2007/03,10,1,404173,232382,94661,73552,12406,71522,
0000003,日本水産,2008/03,10,1,396739,219330,105044,83722,11578,78749,
0000003,日本水産,2009/03,10,1,385462,194899,108086,85240,25599,78900,
0000003,日本水産,2010/03,10,1,383924,213358,112860,85983,10846,67634,
0000003,日本水産,2011/03,10,1,401185,210237,113200,86390,9962,81744,
0000003,日本水産,2012/03,10,1,403182,209032,109350,82294,9627,86449,
0000003,日本水産,2013/03,10,1,424108,222509,112607,83147,14106,89046,
0000003,日本水産,2014/03,10,1,434597,224879,109432,79729,6849,101892,
0000003,日本水産,2015/03,10,1,461889,230167,113667,82631,10455,113199,
0000003,日本水産,2016/03,10,1,445707,228247,118116,86856,8625,110920,
0000003,日本水産,2017/03,10,1,451876,218789,123630,87775,23239,110042,
0000003,日本水産,2018/03,10,1,482233,229078,132782,98925,22669,122274,
0000003,日本水産,2019/03,10,1,477913,230309,137525,102005,8904,128750,
0000003,日本水産,2020/03,10,1,491533,238417,148042,111555,27371,131052,
0000004,マルハニチロ,1985/01,10,1,452298,164590,91122,70697,67321,78427,
0000004,マルハニチロ,1986/01,10,1,463086,162241,82387,65506,57880,86173,
0000004,マルハニチロ,1987/01,10,1,440698,159266,81240,65612,54451,80304,
0000004,マルハニチロ,1988/01,10,1,448099,155578,81006,67420,49293,76620,
0000004,マルハニチロ,1988/09,10,1,467299,148123,91246,71180,52191,95366,
0000004,マルハニチロ,1989/03,10,1,448269,139537,86673,66473,49356,96543,
0000004,マルハニチロ,1990/03,10,1,470082,148617,94341,69312,38784,102862,
0000004,マルハニチロ,1991/03,10,1,462051,158392,95453,65473,27921,99548,
0000004,マルハニチロ,1992/03,10,1,449313,158435,97475,72260,23933,96878,
0000004,マルハニチロ,1993/03,10,1,428661,149168,100554,76308,21838,90085,
0000004,マルハニチロ,1994/03,10,1,420145,157759,107122,75696,22136,80104,
0000004,マルハニチロ,1995/03,10,1,444242,164209,114584,77884,22070,89479,
0000004,マルハニチロ,1996/03,10,1,445731,166317,118019,77764,20166,83089,
0000004,マルハニチロ,1997/03,10,1,452878,173476,122726,78217,18427,90450,
0000004,マルハニチロ,1998/03,10,1,454587,189427,126902,81521,29863,86153,
0000004,マルハニチロ,1999/03,10,1,468072,192125,141117,84461,35646,87392,
0000004,マルハニチロ,2000/03,10,1,514689,231410,162887,94151,28195,85051,
0000004,マルハニチロ,2001/03,10,1,504249,277256,157458,90214,23628,86647,
0000004,マルハニチロ,2002/03,10,1,485772,274144,149890,82168,22504,82790,
0000004,マルハニチロ,2003/03,10,1,459599,270512,148097,82038,21944,76278,
0000004,マルハニチロ,2004/03,10,1,439642,264157,146413,79081,19373,71532,
0000004,マルハニチロ,2012/03,10,1,134504,55376,21720,15096,1997,51571,
0000004,マルハニチロ,2013/03,10,1,124453,42047,22634,16011,2273,53425,
0000004,マルハニチロ,2014/03,10,1,151536,49611,24649,18561,1781,67810,
0000004,マルハニチロ,2015/03,10,1,502016,227582,143373,84808,13971,147537,
0000004,マルハニチロ,2016/03,10,1,485973,219929,139595,81814,12029,141441,
0000004,マルハニチロ,2017/03,10,1,501303,222332,140014,90200,13769,149609,
0000004,マルハニチロ,2018/03,10,1,516607,224423,138444,85862,16475,152009,
0000004,マルハニチロ,2019/03,10,1,520318,220958,140351,84956,12132,163521,
0000004,マルハニチロ,2020/03,10,1,528063,226073,148206,87812,21782,164307,
0000006,ホウスイ,2000/03,10,1,10286,656,127,102,1415,2027,
0000006,ホウスイ,2001/03,10,1,8547,814,113,88,757,1474,
0000006,ホウスイ,2002/03,10,1,7790,899,103,78,424,1571,
