日経会社コード,企業名称,決算期,決算種別,連結基準,<貸借対照表（資産）>商品・製品(百万円),<貸借対照表（資産）>半製品・仕掛品(百万円),<貸借対照表（資産）>原材料・貯蔵品(百万円),<貸借対照表（資産）>販売用不動産(百万円)
0000001,極洋,1984/10,10,1,,,,
0000001,極洋,1985/10,10,1,,,,
0000001,極洋,1986/10,10,1,,,,
0000001,極洋,1987/10,10,1,,,,
0000001,極洋,1988/03,10,1,,,,
0000001,極洋,1989/03,10,1,,,,
0000001,極洋,1990/03,10,1,,,,
0000001,極洋,1991/03,10,1,,,,
0000001,極洋,1992/03,10,1,,,,
0000001,極洋,1993/03,10,1,,,,
0000001,極洋,1994/03,10,1,,,,
0000001,極洋,1995/03,10,1,,,,
0000001,極洋,1996/03,10,1,,,,
0000001,極洋,1997/03,10,1,,,,
0000001,極洋,1998/03,10,1,,,,
0000001,極洋,1999/03,10,1,,,,
0000001,極洋,2000/03,10,1,,,,
0000001,極洋,2001/03,10,1,,,,
0000001,極洋,2002/03,10,1,,,,
0000001,極洋,2003/03,10,1,,,,
0000001,極洋,2004/03,10,1,,,,
0000001,極洋,2005/03,10,1,,,,
0000001,極洋,2006/03,10,1,,,,
0000001,極洋,2007/03,10,1,,,,
0000001,極洋,2008/03,10,1,19077,219,1545,
0000001,極洋,2009/03,10,1,18617,399,2322,
0000001,極洋,2010/03,10,1,20369,707,2111,
0000001,極洋,2011/03,10,1,26598,725,2357,
0000001,極洋,2012/03,10,1,29790,1098,2867,
0000001,極洋,2013/03,10,1,27426,1342,3538,
0000001,極洋,2014/03,10,1,25596,1654,4093,
0000001,極洋,2015/03,10,1,29463,1855,4634,
0000001,極洋,2016/03,10,1,30762,2143,4163,
0000001,極洋,2017/03,10,1,29089,2523,5283,
0000001,極洋,2018/03,10,1,29943,2854,7124,
0000001,極洋,2019/03,10,1,34458,3049,7439,
0000001,極洋,2020/03,10,1,31409,3885,5749,
0000003,日本水産,1984/03,10,1,,,,
0000003,日本水産,1985/03,10,1,,,,
0000003,日本水産,1986/03,10,1,,,,
0000003,日本水産,1987/03,10,1,,,,
0000003,日本水産,1988/03,10,1,,,,
0000003,日本水産,1989/03,10,1,,,,
0000003,日本水産,1990/03,10,1,,,,
0000003,日本水産,1991/03,10,1,,,,
0000003,日本水産,1992/03,10,1,,,,
0000003,日本水産,1993/03,10,1,,,,
0000003,日本水産,1994/03,10,1,,,,
0000003,日本水産,1995/03,10,1,,,,
0000003,日本水産,1996/03,10,1,,,,
0000003,日本水産,1997/03,10,1,,,,
0000003,日本水産,1998/03,10,1,,,,
0000003,日本水産,1999/03,10,1,,,,
0000003,日本水産,2000/03,10,1,,,,
0000003,日本水産,2001/03,10,1,,,,
0000003,日本水産,2002/03,10,1,,,,
0000003,日本水産,2003/03,10,1,,,,
0000003,日本水産,2004/03,10,1,,,,
0000003,日本水産,2005/03,10,1,,,,
0000003,日本水産,2006/03,10,1,,,,
0000003,日本水産,2007/03,10,1,,,,
0000003,日本水産,2008/03,10,1,,,,
0000003,日本水産,2009/03,10,1,49458,7925,21517,
0000003,日本水産,2010/03,10,1,39139,9459,19036,
0000003,日本水産,2011/03,10,1,48573,11552,21619,
0000003,日本水産,2012/03,10,1,50249,13907,22293,
0000003,日本水産,2013/03,10,1,44834,16601,27611,
0000003,日本水産,2014/03,10,1,53058,21974,26860,
0000003,日本水産,2015/03,10,1,59815,22589,30795,
0000003,日本水産,2016/03,10,1,58890,22461,29569,
0000003,日本水産,2017/03,10,1,57277,25786,26979,
0000003,日本水産,2018/03,10,1,64570,24940,32764,
0000003,日本水産,2019/03,10,1,65619,29397,33734,
0000003,日本水産,2020/03,10,1,68300,28740,34012,
0000004,マルハニチロ,1985/01,10,1,,,,
0000004,マルハニチロ,1986/01,10,1,,,,
0000004,マルハニチロ,1987/01,10,1,,,,
0000004,マルハニチロ,1988/01,10,1,,,,
0000004,マルハニチロ,1988/09,10,1,,,,
0000004,マルハニチロ,1989/03,10,1,,,,
0000004,マルハニチロ,1990/03,10,1,,,,
0000004,マルハニチロ,1991/03,10,1,,,,
0000004,マルハニチロ,1992/03,10,1,,,,
0000004,マルハニチロ,1993/03,10,1,,,,
0000004,マルハニチロ,1994/03,10,1,,,,
0000004,マルハニチロ,1995/03,10,1,,,,
0000004,マルハニチロ,1996/03,10,1,,,,
0000004,マルハニチロ,1997/03,10,1,,,,
0000004,マルハニチロ,1998/03,10,1,,,,
0000004,マルハニチロ,1999/03,10,1,,,,
0000004,マルハニチロ,2000/03,10,1,,,,
0000004,マルハニチロ,2001/03,10,1,,,,
0000004,マルハニチロ,2002/03,10,1,,,,
0000004,マルハニチロ,2003/03,10,1,,,,
0000004,マルハニチロ,2004/03,10,1,,,,
0000004,マルハニチロ,2012/03,10,1,41251,6719,3601,
0000004,マルハニチロ,2013/03,10,1,42648,6714,4062,
0000004,マルハニチロ,2014/03,10,1,54915,8518,4376,
0000004,マルハニチロ,2015/03,10,1,109760,15631,22145,
0000004,マルハニチロ,2016/03,10,1,104037,14823,22580,
0000004,マルハニチロ,2017/03,10,1,106528,18168,24911,
0000004,マルハニチロ,2018/03,10,1,111010,17161,23838,
0000004,マルハニチロ,2019/03,10,1,117337,18880,27304,
0000004,マルハニチロ,2020/03,10,1,117372,21572,25363,
0000006,ホウスイ,2000/03,10,1,2004,,22,
0000006,ホウスイ,2001/03,10,1,1458,,16,
0000006,ホウスイ,2002/03,10,1,1540,,31,
0000006,ホウスイ,2003/03,10,1,1379,,32,
0000006,ホウスイ,2004/03,10,1,1773,,32,
0000006,ホウスイ,2005/03,10,1,2638,,44,
0000006,ホウスイ,2006/03,10,1,,,,
0000006,ホウスイ,2007/03,10,1,,,,
0000006,ホウスイ,2008/03,10,1,,,,
0000006,ホウスイ,2009/03,10,1,1217,,17,
0000006,ホウスイ,2010/03,10,1,984,,19,
0000006,ホウスイ,2011/03,10,1,1152,,11,
0000006,ホウスイ,2012/03,10,1,1170,,3,
0000006,ホウスイ,2013/03,10,1,1493,,6,
0000006,ホウスイ,2014/03,10,1,1877,,26,
0000006,ホウスイ,2015/03,10,1,1805,,27,
0000006,ホウスイ,2016/03,10,1,1683,,25,
0000006,ホウスイ,2017/03,10,1,1927,,18,
0000006,ホウスイ,2018/03,10,1,1930,,20,
0000006,ホウスイ,2019/03,10,1,1768,,23,
0000006,ホウスイ,2020/03,10,1,1907,,44,
0000015,常磐興産,1984/03,10,1,,,,
0000015,常磐興産,1985/03,10,1,,,,
0000015,常磐興産,1986/03,10,1,,,,
0000015,常磐興産,1987/03,10,1,,,,
0000015,常磐興産,1988/03,10,1,,,,
0000015,常磐興産,1989/03,10,1,,,,
0000015,常磐興産,1990/03,10,1,,,,
0000015,常磐興産,1991/03,10,1,,,,
0000015,常磐興産,1992/03,10,1,,,,
0000015,常磐興産,1993/03,10,1,,,,
0000015,常磐興産,1994/03,10,1,,,,
0000015,常磐興産,1995/03,10,1,,,,
0000015,常磐興産,1996/03,10,1,,,,
0000015,常磐興産,1997/03,10,1,,,,
0000015,常磐興産,1998/03,10,1,,,,
0000015,常磐興産,1999/03,10,1,,,,
0000015,常磐興産,2000/03,10,1,,,,
0000015,常磐興産,2001/03,10,1,,,,
0000015,常磐興産,2002/03,10,1,,,,
0000015,常磐興産,2003/03,10,1,,,,
0000015,常磐興産,2004/03,10,1,,,,
0000015,常磐興産,2005/03,10,1,,,,
0000015,常磐興産,2006/03,10,1,,,,
0000015,常磐興産,2007/03,10,1,,,,
0000015,常磐興産,2008/03,10,1,,,,
0000015,常磐興産,2009/03,10,1,1025,189,90,
0000015,常磐興産,2010/03,10,1,144,156,75,
0000015,常磐興産,2011/03,10,1,59,198,56,
0000015,常磐興産,2012/03,10,1,72,202,100,
0000015,常磐興産,2013/03,10,1,794,209,97,
0000015,常磐興産,2014/03,10,1,135,177,84,
0000015,常磐興産,2015/03,10,1,167,182,98,
0000015,常磐興産,2016/03,10,1,169,181,110,
0000015,常磐興産,2017/03,10,1,938,160,91,
0000015,常磐興産,2018/03,10,1,172,157,105,
0000015,常磐興産,2019/03,10,1,192,157,99,
0000015,常磐興産,2020/03,10,1,206,156,99,
0000016,太平洋興発,1984/03,10,1,,,,
0000016,太平洋興発,1985/03,10,1,,,,
0000016,太平洋興発,1986/03,10,1,,,,
0000016,太平洋興発,1987/03,10,1,,,,
0000016,太平洋興発,1988/03,10,1,,,,
0000016,太平洋興発,1989/03,10,1,,,,
0000016,太平洋興発,1990/03,10,1,,,,
0000016,太平洋興発,1991/03,10,1,,,,
0000016,太平洋興発,1992/03,10,1,,,,
0000016,太平洋興発,1993/03,10,1,,,,
0000016,太平洋興発,1994/03,10,1,,,,
0000016,太平洋興発,1995/03,10,1,,,,
0000016,太平洋興発,1996/03,10,1,,,,
0000016,太平洋興発,1997/03,10,1,,,,
0000016,太平洋興発,1998/03,10,1,,,,
0000016,太平洋興発,1999/03,10,1,,,,
0000016,太平洋興発,2000/03,10,1,,,,
0000016,太平洋興発,2001/03,10,1,,,,
0000016,太平洋興発,2002/03,10,1,,,,
0000016,太平洋興発,2003/03,10,1,,,,
0000016,太平洋興発,2004/03,10,1,,,,
0000016,太平洋興発,2005/03,10,1,,,,
0000016,太平洋興発,2006/03,10,1,,,,
0000016,太平洋興発,2007/03,10,1,,,,
0000016,太平洋興発,2008/03,10,1,2104,873,122,1838
0000016,太平洋興発,2009/03,10,1,1956,760,109,797
0000016,太平洋興発,2010/03,10,1,2322,537,132,481
0000016,太平洋興発,2011/03,10,1,2348,694,143,487
0000016,太平洋興発,2012/03,10,1,2610,219,168,400
0000016,太平洋興発,2013/03,10,1,3005,142,149,531
0000016,太平洋興発,2014/03,10,1,3017,229,207,333
0000016,太平洋興発,2015/03,10,1,3140,337,200,262
0000016,太平洋興発,2016/03,10,1,4120,152,199,9
0000016,太平洋興発,2017/03,10,1,3895,182,195,
0000016,太平洋興発,2018/03,10,1,4136,102,179,20
0000016,太平洋興発,2019/03,10,1,4605,1884,136,
0000016,太平洋興発,2020/03,10,1,5878,1049,109,
0000022,日鉄鉱業,1984/03,10,1,,,,
0000022,日鉄鉱業,1985/03,10,1,,,,
0000022,日鉄鉱業,1986/03,10,1,,,,
0000022,日鉄鉱業,1987/03,10,1,,,,
0000022,日鉄鉱業,1988/03,10,1,,,,
0000022,日鉄鉱業,1989/03,10,1,,,,
0000022,日鉄鉱業,1990/03,10,1,,,,
0000022,日鉄鉱業,1991/03,10,1,,,,
0000022,日鉄鉱業,1992/03,10,1,,,,
0000022,日鉄鉱業,1993/03,10,1,,,,
0000022,日鉄鉱業,1994/03,10,1,,,,
0000022,日鉄鉱業,1995/03,10,1,,,,
