日経会社コード,企業名称,株式コード,決算期,決算種別,連結基準,<貸借対照表（資産）>現金・預金／現金及び現金同等物(百万円)
0000001,極洋,1301,1984/10,10,1,16300
0000001,極洋,1301,1985/10,10,1,14433
0000001,極洋,1301,1986/10,10,1,13787
0000001,極洋,1301,1987/10,10,1,13887
0000001,極洋,1301,1988/03,10,1,14008
0000001,極洋,1301,1989/03,10,1,15217
0000001,極洋,1301,1990/03,10,1,7534
0000001,極洋,1301,1991/03,10,1,6977
0000001,極洋,1301,1992/03,10,1,5690
0000001,極洋,1301,1993/03,10,1,5428
0000001,極洋,1301,1994/03,10,1,8120
0000001,極洋,1301,1995/03,10,1,5503
0000001,極洋,1301,1996/03,10,1,5097
0000001,極洋,1301,1997/03,10,1,3875
0000001,極洋,1301,1998/03,10,1,4557
0000001,極洋,1301,1999/03,10,1,6307
0000001,極洋,1301,2000/03,10,1,4951
0000001,極洋,1301,2001/03,10,1,3818
0000001,極洋,1301,2002/03,10,1,4185
0000001,極洋,1301,2003/03,10,1,4015
0000001,極洋,1301,2004/03,10,1,3456
0000001,極洋,1301,2005/03,10,1,2775
0000001,極洋,1301,2006/03,10,1,3089
0000001,極洋,1301,2007/03,10,1,3141
0000001,極洋,1301,2008/03,10,1,2886
0000001,極洋,1301,2009/03,10,1,3786
0000001,極洋,1301,2010/03,10,1,2732
0000001,極洋,1301,2011/03,10,1,3382
0000001,極洋,1301,2012/03,10,1,3496
0000001,極洋,1301,2013/03,10,1,3888
0000001,極洋,1301,2014/03,10,1,3456
0000001,極洋,1301,2015/03,10,1,4140
0000001,極洋,1301,2016/03,10,1,4099
0000001,極洋,1301,2017/03,10,1,2641
0000001,極洋,1301,2018/03,10,1,5046
0000001,極洋,1301,2019/03,10,1,4818
0000001,極洋,1301,2020/03,10,1,6522
0000003,日本水産,1332,1984/03,10,1,31985
0000003,日本水産,1332,1985/03,10,1,26828
0000003,日本水産,1332,1986/03,10,1,27781
0000003,日本水産,1332,1987/03,10,1,27290
0000003,日本水産,1332,1988/03,10,1,30277
0000003,日本水産,1332,1989/03,10,1,30089
0000003,日本水産,1332,1990/03,10,1,33900
0000003,日本水産,1332,1991/03,10,1,36093
0000003,日本水産,1332,1992/03,10,1,31893
0000003,日本水産,1332,1993/03,10,1,47229
0000003,日本水産,1332,1994/03,10,1,22264
0000003,日本水産,1332,1995/03,10,1,15126
0000003,日本水産,1332,1996/03,10,1,16072
0000003,日本水産,1332,1997/03,10,1,11852
0000003,日本水産,1332,1998/03,10,1,14032
0000003,日本水産,1332,1999/03,10,1,20343
0000003,日本水産,1332,2000/03,10,1,29589
0000003,日本水産,1332,2001/03,10,1,22472
0000003,日本水産,1332,2002/03,10,1,23607
0000003,日本水産,1332,2003/03,10,1,14311
0000003,日本水産,1332,2004/03,10,1,6997
0000003,日本水産,1332,2005/03,10,1,9125
0000003,日本水産,1332,2006/03,10,1,12015
0000003,日本水産,1332,2007/03,10,1,12406
0000003,日本水産,1332,2008/03,10,1,11578
0000003,日本水産,1332,2009/03,10,1,25599
0000003,日本水産,1332,2010/03,10,1,10846
0000003,日本水産,1332,2011/03,10,1,9962
0000003,日本水産,1332,2012/03,10,1,9627
0000003,日本水産,1332,2013/03,10,1,14106
0000003,日本水産,1332,2014/03,10,1,6849
0000003,日本水産,1332,2015/03,10,1,10455
0000003,日本水産,1332,2016/03,10,1,8625
0000003,日本水産,1332,2017/03,10,1,23239
0000003,日本水産,1332,2018/03,10,1,22669
0000003,日本水産,1332,2019/03,10,1,8904
0000003,日本水産,1332,2020/03,10,1,27371
0000004,マルハニチロ,1333,1985/01,10,1,67321
0000004,マルハニチロ,1333,1986/01,10,1,57880
0000004,マルハニチロ,1333,1987/01,10,1,54451
0000004,マルハニチロ,1333,1988/01,10,1,49293
0000004,マルハニチロ,1333,1988/09,10,1,52191
0000004,マルハニチロ,1333,1989/03,10,1,49356
0000004,マルハニチロ,1333,1990/03,10,1,38784
0000004,マルハニチロ,1333,1991/03,10,1,27921
0000004,マルハニチロ,1333,1992/03,10,1,23933
0000004,マルハニチロ,1333,1993/03,10,1,21838
0000004,マルハニチロ,1333,1994/03,10,1,22136
0000004,マルハニチロ,1333,1995/03,10,1,22070
0000004,マルハニチロ,1333,1996/03,10,1,20166
0000004,マルハニチロ,1333,1997/03,10,1,18427
0000004,マルハニチロ,1333,1998/03,10,1,29863
0000004,マルハニチロ,1333,1999/03,10,1,35646
0000004,マルハニチロ,1333,2000/03,10,1,28195
0000004,マルハニチロ,1333,2001/03,10,1,23628
0000004,マルハニチロ,1333,2002/03,10,1,22504
0000004,マルハニチロ,1333,2003/03,10,1,21944
0000004,マルハニチロ,1333,2004/03,10,1,19373
0000004,マルハニチロ,1333,2012/03,10,1,1997
0000004,マルハニチロ,1333,2013/03,10,1,2273
0000004,マルハニチロ,1333,2014/03,10,1,1781
0000004,マルハニチロ,1333,2015/03,10,1,13971
0000004,マルハニチロ,1333,2016/03,10,1,12029
0000004,マルハニチロ,1333,2017/03,10,1,13769
0000004,マルハニチロ,1333,2018/03,10,1,16475
0000004,マルハニチロ,1333,2019/03,10,1,12132
0000004,マルハニチロ,1333,2020/03,10,1,21782
0000006,ホウスイ,1352,2000/03,10,1,1415
0000006,ホウスイ,1352,2001/03,10,1,757
0000006,ホウスイ,1352,2002/03,10,1,424
0000006,ホウスイ,1352,2003/03,10,1,468
0000006,ホウスイ,1352,2004/03,10,1,162
0000006,ホウスイ,1352,2005/03,10,1,154
0000006,ホウスイ,1352,2006/03,10,1,137
0000006,ホウスイ,1352,2007/03,10,1,142
0000006,ホウスイ,1352,2008/03,10,1,357
0000006,ホウスイ,1352,2009/03,10,1,862
0000006,ホウスイ,1352,2010/03,10,1,311
0000006,ホウスイ,1352,2011/03,10,1,340
0000006,ホウスイ,1352,2012/03,10,1,219
0000006,ホウスイ,1352,2013/03,10,1,382
0000006,ホウスイ,1352,2014/03,10,1,1214
0000006,ホウスイ,1352,2015/03,10,1,1521
0000006,ホウスイ,1352,2016/03,10,1,1304
0000006,ホウスイ,1352,2017/03,10,1,1456
0000006,ホウスイ,1352,2018/03,10,1,1009
0000006,ホウスイ,1352,2019/03,10,1,1752
0000006,ホウスイ,1352,2020/03,10,1,1623
0000015,常磐興産,9675,1984/03,10,1,1534
0000015,常磐興産,9675,1985/03,10,1,2058
0000015,常磐興産,9675,1986/03,10,1,2391
0000015,常磐興産,9675,1987/03,10,1,1752
0000015,常磐興産,9675,1988/03,10,1,4303
0000015,常磐興産,9675,1989/03,10,1,2948
0000015,常磐興産,9675,1990/03,10,1,7858
0000015,常磐興産,9675,1991/03,10,1,8332
0000015,常磐興産,9675,1992/03,10,1,5330
0000015,常磐興産,9675,1993/03,10,1,7757
0000015,常磐興産,9675,1994/03,10,1,4996
0000015,常磐興産,9675,1995/03,10,1,3736
0000015,常磐興産,9675,1996/03,10,1,5557
0000015,常磐興産,9675,1997/03,10,1,3357
0000015,常磐興産,9675,1998/03,10,1,3670
0000015,常磐興産,9675,1999/03,10,1,4385
0000015,常磐興産,9675,2000/03,10,1,4784
0000015,常磐興産,9675,2001/03,10,1,5420
0000015,常磐興産,9675,2002/03,10,1,4067
0000015,常磐興産,9675,2003/03,10,1,3470
0000015,常磐興産,9675,2004/03,10,1,4524
0000015,常磐興産,9675,2005/03,10,1,3687
0000015,常磐興産,9675,2006/03,10,1,3717
0000015,常磐興産,9675,2007/03,10,1,3542
0000015,常磐興産,9675,2008/03,10,1,4946
0000015,常磐興産,9675,2009/03,10,1,5824
0000015,常磐興産,9675,2010/03,10,1,6367
0000015,常磐興産,9675,2011/03,10,1,3634
0000015,常磐興産,9675,2012/03,10,1,9406
0000015,常磐興産,9675,2013/03,10,1,8876
0000015,常磐興産,9675,2014/03,10,1,7691
0000015,常磐興産,9675,2015/03,10,1,7078
0000015,常磐興産,9675,2016/03,10,1,7021
0000015,常磐興産,9675,2017/03,10,1,7077
0000015,常磐興産,9675,2018/03,10,1,5649
0000015,常磐興産,9675,2019/03,10,1,3731
0000015,常磐興産,9675,2020/03,10,1,3214
0000016,太平洋興発,8835,1984/03,10,1,2862
0000016,太平洋興発,8835,1985/03,10,1,3037
0000016,太平洋興発,8835,1986/03,10,1,2880
0000016,太平洋興発,8835,1987/03,10,1,4751
0000016,太平洋興発,8835,1988/03,10,1,4726
0000016,太平洋興発,8835,1989/03,10,1,4684
0000016,太平洋興発,8835,1990/03,10,1,3610
0000016,太平洋興発,8835,1991/03,10,1,4223
0000016,太平洋興発,8835,1992/03,10,1,5282
0000016,太平洋興発,8835,1993/03,10,1,5215
0000016,太平洋興発,8835,1994/03,10,1,5195
0000016,太平洋興発,8835,1995/03,10,1,5919
0000016,太平洋興発,8835,1996/03,10,1,5056
0000016,太平洋興発,8835,1997/03,10,1,3919
0000016,太平洋興発,8835,1998/03,10,1,4803
0000016,太平洋興発,8835,1999/03,10,1,6721
0000016,太平洋興発,8835,2000/03,10,1,6586
0000016,太平洋興発,8835,2001/03,10,1,7736
0000016,太平洋興発,8835,2002/03,10,1,6503
0000016,太平洋興発,8835,2003/03,10,1,6171
0000016,太平洋興発,8835,2004/03,10,1,5508
0000016,太平洋興発,8835,2005/03,10,1,5404
0000016,太平洋興発,8835,2006/03,10,1,7897
0000016,太平洋興発,8835,2007/03,10,1,6832
0000016,太平洋興発,8835,2008/03,10,1,6566
0000016,太平洋興発,8835,2009/03,10,1,4744
0000016,太平洋興発,8835,2010/03,10,1,4141
0000016,太平洋興発,8835,2011/03,10,1,4108
0000016,太平洋興発,8835,2012/03,10,1,5236
0000016,太平洋興発,8835,2013/03,10,1,6065
0000016,太平洋興発,8835,2014/03,10,1,6872
0000016,太平洋興発,8835,2015/03,10,1,5533
0000016,太平洋興発,8835,2016/03,10,1,5675
0000016,太平洋興発,8835,2017/03,10,1,5243
0000016,太平洋興発,8835,2018/03,10,1,5909
0000016,太平洋興発,8835,2019/03,10,1,6263
0000016,太平洋興発,8835,2020/03,10,1,6559
0000022,日鉄鉱業,1515,1984/03,10,1,6060
0000022,日鉄鉱業,1515,1985/03,10,1,7477
0000022,日鉄鉱業,1515,1986/03,10,1,6945
0000022,日鉄鉱業,1515,1987/03,10,1,6640
0000022,日鉄鉱業,1515,1988/03,10,1,6594
0000022,日鉄鉱業,1515,1989/03,10,1,8858
0000022,日鉄鉱業,1515,1990/03,10,1,9529
0000022,日鉄鉱業,1515,1991/03,10,1,13821
0000022,日鉄鉱業,1515,1992/03,10,1,11718
0000022,日鉄鉱業,1515,1993/03,10,1,11426
0000022,日鉄鉱業,1515,1994/03,10,1,12127
0000022,日鉄鉱業,1515,1995/03,10,1,11734
0000022,日鉄鉱業,1515,1996/03,10,1,9651
0000022,日鉄鉱業,1515,1997/03,10,1,8877
0000022,日鉄鉱業,1515,1998/03,10,1,7367
0000022,日鉄鉱業,1515,1999/03,10,1,13039
0000022,日鉄鉱業,1515,2000/03,10,1,11251
0000022,日鉄鉱業,1515,2001/03,10,1,12825
0000022,日鉄鉱業,1515,2002/03,10,1,17343
0000022,日鉄鉱業,1515,2003/03,10,1,24911
0000022,日鉄鉱業,1515,2004/03,10,1,18368
0000022,日鉄鉱業,1515,2005/03,10,1,14500
0000022,日鉄鉱業,1515,2006/03,10,1,17136
0000022,日鉄鉱業,1515,2007/03,10,1,16847
0000022,日鉄鉱業,1515,2008/03,10,1,19480
0000022,日鉄鉱業,1515,2009/03,10,1,15201
0000022,日鉄鉱業,1515,2010/03,10,1,14570
0000022,日鉄鉱業,1515,2011/03,10,1,11911
0000022,日鉄鉱業,1515,2012/03,10,1,14419
0000022,日鉄鉱業,1515,2013/03,10,1,16672
0000022,日鉄鉱業,1515,2014/03,10,1,14005
0000022,日鉄鉱業,1515,2015/03,10,1,24118
0000022,日鉄鉱業,1515,2016/03,10,1,26648
0000022,日鉄鉱業,1515,2017/03,10,1,26297
0000022,日鉄鉱業,1515,2018/03,10,1,30537
0000022,日鉄鉱業,1515,2019/03,10,1,34139
0000022,日鉄鉱業,1515,2020/03,10,1,34109
0000023,三井松島ホールディングス,1518,1984/03,10,1,3862
0000023,三井松島ホールディングス,1518,1985/03,10,1,4548
0000023,三井松島ホールディングス,1518,1986/03,10,1,2799
0000023,三井松島ホールディングス,1518,1987/03,10,1,6109
0000023,三井松島ホールディングス,1518,1988/03,10,1,6533
0000023,三井松島ホールディングス,1518,1989/03,10,1,7590
0000023,三井松島ホールディングス,1518,1990/03,10,1,7868
0000023,三井松島ホールディングス,1518,1991/03,10,1,7994
0000023,三井松島ホールディングス,1518,1992/03,10,1,4594
0000023,三井松島ホールディングス,1518,1993/03,10,1,4274
0000023,三井松島ホールディングス,1518,1994/03,10,1,6980
0000023,三井松島ホールディングス,1518,1995/03,10,1,4858
0000023,三井松島ホールディングス,1518,1996/03,10,1,5096
0000023,三井松島ホールディングス,1518,1997/03,10,1,4811
0000023,三井松島ホールディングス,1518,1998/03,10,1,5328
0000023,三井松島ホールディングス,1518,1999/03,10,1,6287
0000023,三井松島ホールディングス,1518,2000/03,10,1,7341
0000023,三井松島ホールディングス,1518,2001/03,10,1,7189
0000023,三井松島ホールディングス,1518,2002/03,10,1,6607
0000023,三井松島ホールディングス,1518,2003/03,10,1,4688
0000023,三井松島ホールディングス,1518,2004/03,10,1,5252
0000023,三井松島ホールディングス,1518,2005/03,10,1,6288
0000023,三井松島ホールディングス,1518,2006/03,10,1,9107
0000023,三井松島ホールディングス,1518,2007/03,10,1,11378
0000023,三井松島ホールディングス,1518,2008/03,10,1,10869
0000023,三井松島ホールディングス,1518,2009/03,10,1,8630
0000023,三井松島ホールディングス,1518,2010/03,10,1,13798
0000023,三井松島ホールディングス,1518,2011/03,10,1,11784
0000023,三井松島ホールディングス,1518,2012/03,10,1,11387
0000023,三井松島ホールディングス,1518,2013/03,10,1,12212
0000023,三井松島ホールディングス,1518,2014/03,10,1,14362
0000023,三井松島ホールディングス,1518,2015/03,10,1,13788
0000023,三井松島ホールディングス,1518,2016/03,10,1,13454
0000023,三井松島ホールディングス,1518,2017/03,10,1,14231
0000023,三井松島ホールディングス,1518,2018/03,10,1,16600
0000023,三井松島ホールディングス,1518,2019/03,10,1,16571
0000023,三井松島ホールディングス,1518,2020/03,10,1,17953
0000043,古河機械金属,5715,1984/03,10,1,14030
0000043,古河機械金属,5715,1985/03,10,1,13352
0000043,古河機械金属,5715,1986/03,10,1,13236
0000043,古河機械金属,5715,1987/03,10,1,14267
0000043,古河機械金属,5715,1988/03,10,1,23830
0000043,古河機械金属,5715,1989/03,10,1,28358
0000043,古河機械金属,5715,1990/03,10,1,43920
0000043,古河機械金属,5715,1991/03,10,1,38737
0000043,古河機械金属,5715,1992/03,10,1,41494
