ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	発表ﾌﾟﾚﾐｱﾑ	売却側企業 営業利益(損失)	買収側企業 営業利益(損失)	ﾀｰｹﾞｯﾄ企業 営業利益(損失)	買収側企業 内部留保率	買収側企業 利付き負債(米国以外)	買収側企業 利子負担率	買収側企業 有利子負債	買収側企業 流動負債/総資本	買収側企業 現金比率	買収側企業 総負債/自己資本	買収側企業 財務ﾚﾊﾞﾚｯｼﾞ	ﾀｰｹﾞｯﾄ企業 内部留保率	ﾀｰｹﾞｯﾄ企業 利付き負債(米国以外)	ﾀｰｹﾞｯﾄ企業 利子負担率	ﾀｰｹﾞｯﾄ企業 有利子負債	ﾀｰｹﾞｯﾄ企業 流動負債/総資本	ﾀｰｹﾞｯﾄ企業 現金比率	ﾀｰｹﾞｯﾄ企業 総負債/自己資本	ﾀｰｹﾞｯﾄ企業 財務ﾚﾊﾞﾚｯｼﾞ
さくら銀行	三井住友銀行		44815.05	18.31		5044.11	1683.12	35.2454	1825470					2390.18	24.9047	34.877	357593					3590.93	36.1178
ＮＴＴドコモ	日本電信電話		40268.03	38		15766.4	8614.57	57.9768		96.8534		32.3362	0.13534	195.201	2.76589	67.9206		99.5224		22.4286	0.332095	41.6281	1.42768
ARM Ltd	ソフトバンクグループ		31593.84			76714.2	42.7314	98.1258		95.1571		28.1767	0.525936	347.819	5.48523			85.6599		13.796	1.39074	34.2781	
ＵＦＪホールディングス	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ		29900.37	40.26		6707.19	-2553.11	49.2251	1896770					1950.3	20.5074		680323					-33339.6	
ＵＦＪホールディングス	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		29798.99	3.68		9938.88	-2553.11	58.5806	2806030					2033.96	21.2251		680323					-33339.6	
住友金属工業	日本製鉄		23791.69	3.96		-476.401	973.361			91.3944		23.3872	0.267363	160.962	2.78045			110.898		28.9602	0.0255226	229.048	3.27007
キオクシア	複数買収者	東芝	19467.88		984.836																		
キオクシア	複数買収者	東芝	17957.62		984.836																		
関西国際空港及び大阪国際空港特定空港運営事業	複数買収者	新関西国際空港	17913.85		246.667																		
キオクシア	複数買収者	東芝	17796.76		984.836																		
ソフトバンク	ソフトバンクグループ	ﾎﾞｰﾀﾞﾌｫﾝ･ｸﾞﾙｰﾌﾟ	17527.54		5549.16	76714.2	9157.39	98.1258		95.1571		28.1767	0.525936	347.819	5.48523	17.3316		92.0679		43.2958	0.314583	626.629	8.76285
りそなホールディングス	日本		16634.71	-16.73			1801.38									61.1684	621753					3071.27	30.5288
イトーヨーカ堂ＳＨＣ	セブン‐イレブン･ジャパン		14594.72	-11.09						98.8268								96.3328					
ＮＫＫ	ＪＦＥスチール		12350.98	3.87		1772.87	552.637	86.0785		221.491		30.0063	0.0309739	210.831	3.11849			13.4523		41.2394	0.0441711	584.767	6.9367
ＪＸ金属	ＥＮＥＯＳ		11766.06	3.87						76.2095								89.4804					
ＫＤＤ	ＫＤＤＩ		11330.13	23.87		9739.8		57.8619		99.2469		33.3771	0.235604	110.844	2.19982								
野村土地建物	野村ホールディングス	"大林組,ジャフコグループ株式会社,楽天損害保険"	11007.73			2175.95		30.0426			348258			1475.36	16.1761								
日本移動通信　　　　 　　　　　　	ＫＤＤＩ		10710.13			9739.8		57.8619		99.2469		33.3771	0.235604	110.844	2.19982								
東海銀行	ＵＦＪホールディングス		10613.8			-2553.11	-829.948		680323					-33339.6			218752					4260.29	39.2458
三菱UFJ信託銀行	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		9994.83			9938.88	1554.02	58.5806	2806030					2033.96	21.2251	69.9256	195127					1477.54	16.5005
Unnamed Target	Zホールディングス	"ソフトバンク,Naver[ﾈｲﾊﾞｰ]"	9293.29			1529.34		39.799				30.3725	0.778638	138.204	3.07788								
三井住友信託銀行	三井住友ﾄﾗｽﾄ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ		9200.26	-1.93		1727.77	1479.96	60.4461	474867					2205.79	22.598	61.7296	476591					2575.92	26.2766
昭和電工マテリアルズ	昭和電工		9049.94	17.95		-182.239	212.731			221.72		18.6998	0.457285	365.928	3.62299	61.9109		74.5132		25.6754	0.506309	64.1924	1.67521
"Plzensky Prazdroj AS,Plzensky Prazdroj Slovensko AS,Dreher Sorgyarak Zrt,Ursus Breweries SA,Asahi CE & Europe Services AG,Sabmiller Poland BV,Asahi Brands Europe AS,SABMiller Brands Korea Yuhan Hoesa"	ｱｻﾋｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ	ｱﾝﾊｲｻﾞｰ･ﾌﾞｯｼｭ･ｲﾝﾍﾞﾌﾞ	7755.52		9620	1266.53		44.9077		91.6403		37.2272	0.0318796	192.699	2.74401								
ヒューリック/旧	ヒューリック		7724.29	102.96		942.592	249.243	61.9375		90.9296		4.33182	1.11619	314.559	4.01404	79.7774		75.4605		20.3943	0.132233	360.756	4.65034
藤沢薬品工業	アステラス製薬		6873.04	3.41		1300.87	776.145	35.1956		97.5027		26.054	0.550546	64.0288	1.71526	71.3771		99.723		22.3377	0.949062	35.6636	1.34366
双日(旧)	日商岩井		6458.22	-3.18						246.163													
東燃ゼネラル石油	ＥＮＥＯＳホールディングス		6373.23	0.33		1801.53	747.284	37.8007		93.2769		33.1923	0.152377	228.215	3.46626	73.1362		97.3656		49.8225	0.160686	350.819	4.8189
第一製薬	三共		6190.71	11.33														99.9987					
富士フイルムビジネスイノベーション株式会社	富士フイルムビジネスイノベーション株式会社	富士フイルムホールディングス	6135.7		1560.93	199.78	199.78					39.0704	0.236135	66.1057	1.54246					39.0704	0.236135	66.1057	1.54246
キヤノンメディカルシステムズ	キヤノン	東芝	5976.11		984.836	1035.83				99.775		28.6706	0.307464	71.5165	1.78642								
昭和シェル石油	出光興産		5939.32	1.57		1321.22				96.2964		40.9991	0.0810116	238.008	3.4079			98.8597		54.6402	0.0926909	288.469	3.88874
