発表日,ﾀｰｹﾞｯﾄ会社名,買収側の社名,発表時ﾃﾞｨｰﾙ総額(百万),買収側企業 人件費,ﾀｰｹﾞｯﾄ企業 人件費,買収側企業 12ｶ月売上原価,ﾀｰｹﾞｯﾄ企業 12ｶ月売上原価,買収側企業 原材料,ﾀｰｹﾞｯﾄ企業 原材料,買収側企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 外国人持株比率,ﾀｰｹﾞｯﾄ企業 販管費･その他営業費用,買収側企業 SIC名,ﾀｰｹﾞｯﾄ企業 SIC名
1992-06-29,FLS Holdings Inc,共英製鋼,300.0,28.6389,,2197.52,,205.027,,13.6,,,,
1992-11-01,SILICON TECHNOLOGY CORP,東京精密,11.34,53.9197,,638.927,,74.1343,,28.31,,,,
1993-02-08,3 NORTH SEA FIELDS,伊藤忠商事,106.0,5555.56,,87706.3,,491.809,,35.42,,,METAL SVC CNTR,
1993-02-08,Goldtex Inc,トーメン,15.7,,,14458.4,,,,,,,,
1993-03-19,日本海汽船,商船三井,171.96,48.9296,,9277.14,,253.124,,27.82,,,,
1993-06-14,忠実屋,ダイエー,1111.4,1032.87,,5083.23,,,,20.3,,,MISC GENL STOR,
1993-06-14,ユニードダイエー,ダイエー,584.09,1032.87,,5083.23,,,,20.3,,,MISC GENL STOR,
1993-07-07,UCB-JSR ELECTRONICS SA,ＪＳＲ,5.69,35.7704,,2605.96,,364.452,,44.82,,,,
1993-09-17,ジャパンシステム,ﾊﾟｰｽﾍﾟｸﾀ･ｴﾝﾀｰﾌﾟﾗｲｽﾞｿﾘｭｰｼｮﾝｽﾞ,25.0,,8.79849,19333.0,63.9289,,,,55.75,19.1895,PRGRMNG SVC,
1993-09-30,テック電子,東芝テック,315.43,736.519,,2393.39,,62.7791,,20.26,,,,
1994-01-14,Sealed Power Technologies auto parts JV,SPX,239.0,,,973.5,,101.5,,,,,METALWORK EQUI,
1994-02-07,US RESTAURANT BUSINESS,山崎製パン,20.0,1291.34,,6222.69,,101.084,,11.33,,,,
1994-02-28,"リッカー,朝日トラベル",ＳＭＢＣファイナンスサービス,2.78,,,,,,,,,,,
1994-03-10,大阪セメント,住友大阪セメント,677.32,90.2749,,1541.64,,113.055,,39.92,0.8,153.637,,
1994-07-26,東洋酸素,大陽東洋酸素,195.45,,,,,,,3.73,,,,
1994-11-25,Westin Hotels & Resorts,Starwood/Goldman Sachs JV,560.96,,,,,,,,,,,
1995-01-01,Kahala Mandarin Oriental hotel,Kahala Royal Corp,97.0,,,,,,,,,,,
1995-02-10,辰村組,南海辰村建設,81.0,10.3104,,355.722,,0.641895,,0.14,,,,
1995-04-21,Universal Studios Inc,ﾋﾞﾍﾞﾝﾃﾞｨ,5699.66,4110.23,,10894.0,,,,,,,REFUSE SYSTEMS,PRODUCE VIDEOS
1995-06-30,Ambassador Security Group PLC,セコム,29.0,1047.64,,6574.38,,99.4756,,41.57,,,,
1995-07-27,NRG Group Ltd,リコー,2.86,5172.9,,10691.0,1141.21,,,42.51,,592.214,PHOTOG EQUIP,
1995-11-09,Ziff-Davis Publishing Co,ソフトバンクグループ,2100.0,6962.65,,26905.7,,,,26.71,,,PHONE NO RADI,
1996-03-14,51% STAKE,BASF,3.24,12075.0,,66476.6,,3795.86,,,,,CHEMICALS,
1996-05-10,日米富士自転車,東食,196.63,,,,,,,,,,,
1996-06-05,Silicon Systems Inc,ﾃｷｻｽ･ｲﾝｽﾂﾙﾒﾝﾂ,630.15,,,5916.0,,180.0,,,,,SEMICONDUCTORS,
1996-06-30,Overhead Door Corp,三和ホールディングス,710.0,492.607,,2945.36,,236.796,,35.43,,,,METAL DOORS
1996-09-09,Tyrrell's Inc,ユニ・チャーム,8.0,652.495,,4224.77,,250.077,,31.45,,,,
1996-11-14,AUTOSIMULATIONS INC,ダイフク,16.16,232.734,,3714.54,,147.591,,39.95,,,,
1997-01-19,Sterling Electronics Corp,Marshall Industries,217.0,,,1448.86,300.345,,,,,57.415,ELECTRON PARTS,
1997-02-27,ロックフェラーグループ社,三菱地所,151.0,242.667,,8633.65,,,,42.79,,,,MISC INVSTRS
1997-06-17,"MEDTEL, TELETRONICS BRAND NAM",セント・ジュード・メディカル,36.0,,,99.2792,,,,,,,,
1997-06-23,VALUE RENT-A-CAR,ｵｰﾄﾈｰｼｮﾝ,77.5,,,20429.1,,,,,,,NEW/USED CARS,
1997-07-11,ELOTECNICO ELECTRONICA TELECO,富士通,5.7,11393.5,,23360.2,,566.685,,54.58,,,,
1997-07-30,Fujitsu IT Holdings Inc,富士通,884.47,11393.5,,23360.2,1293.08,566.685,,54.58,,,,ELEC COMPUTER
1997-08-28,ミドリ十字,三菱ウェルファーマ,847.53,240.625,,668.044,,,,,0.1,418.01,,
1997-09-02,Yamato Kogyo KK,ユニプレス,29.12,73.5217,,2160.93,,64.1443,,21.71,,,,INDL MACH/EQUI
1997-09-22,Teligent Inc/Old,日本電信電話,100.0,23218.8,,55568.1,325.119,2084.34,,21.11,,424.727,PHONE NO RADI,RADIOPHONE COM
1997-10-02,日本セメント,太平洋セメント,906.62,337.187,,5518.98,,396.646,,39.05,15.77,608.227,,
1997-11-13,Houston General Insurance Co,ｱﾋﾞﾊﾞ,49.82,,,,,,,,,,LIFE INSURANCE,INS CARRIERS
1997-11-17,Capita Corp,CIT Financial Ltd,1649.04,,,,,,,,,,SEC/CMMDTY NEC,
1997-11-25,日本高速通信,ＫＤＤ,578.53,,,,,,,,,,,PHONE NO RADI
1997-11-26,西武石油商事,伊藤忠エネクス,47.2,328.188,,6805.4,,0.58765,,10.61,,,,
1997-12-01,Uarco Inc,スタンダード･レジスター,244.7,,,655.288,,6.489,,,,,BUSINESS FORMS,
1997-12-18,Hong Kong operations,Core Pacific Securities,75.18,,,,,,,,,,,
1997-12-18,住友シチックス,住友金属工業,631.7,434.623,,16457.7,,2961.67,,16.68,13.85,160.196,,
1998-01-21,FLT Iskra SA,日本精工,47.26,1620.86,,6368.32,,259.226,,21.71,,,,
1998-02-02,エス・ディー・エスバイオテック/旧,昭和電工,69.96,360.383,,9948.29,,657.086,,20.28,,,,
1998-02-02,PRIME SOURCE INC,伊藤忠商事,30.01,5555.56,,87706.3,,491.809,,35.42,,,METAL SVC CNTR,
1998-02-20,ｲﾝﾀｰｺﾝﾁﾈﾝﾀﾙ･ﾎﾃﾙｽﾞ･ｸﾞﾙｰﾌﾟ,Six Continents Ltd,2889.0,,1358.0,,328.0,,,,,2195.0,MALT BEVERAGES,HOTEL/MOTEL
1998-02-24,東京ﾄﾖﾀ自動車,トヨタ自動車,12.09,30952.8,,233574.0,,7126.89,,20.57,,,VEHIC/CAR BODY,NEW/USED CARS
1998-02-27,Fabrica Nationale De Vidor,ＡＧＣ,15.86,2857.4,,10699.9,,1052.52,,22.38,,,,
1998-02-27,コルネット,アイネス,9.38,28.6578,,302.134,,0.659976,,23.86,,,,
1998-03-05,リコー精器,リコーエレメックス,28.1,,,569.394,,,,,,,,
1998-03-06,昭和薬品,アズウェル,95.88,,,3600.75,,,,0.7,,,,
1998-03-10,SCM Microsystems Japan KK,ｱｲﾃﾞﾝﾃｨﾌﾞ,8.0,,,63.854,,6.518,,,,,COMP PERIPHER,
1998-03-18,大阪スタヂアム興業,南海電気鉄道,83.39,34.3554,,1635.75,,25.7752,,10.35,,,,
1998-03-19,DIC FINANCE,Associates First Capital Corp,612.46,,,,,,,,,,PERSONL CREDIT,
1998-03-26,Sumitomo Bank Of California,ZBﾅｼｮﾅﾙ･ｱｿｼｴｰｼｮﾝ,451.54,1087.0,,,,,,,,150.036,NATL COML BANK,ST COML BANK
