取引ﾀｲﾌﾟ	発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)
M&A	10/18/1999	さくら銀行	三井住友銀行		44815.05	Completed						25.0522		25131.5		16.4795		14179.2			N.A.	8318 JP	58127	Banks	8314 JP	24184	Banks									
M&A	09/29/2020	ＮＴＴドコモ	日本電信電話		40268.03	Completed					29882.3	13.7537	50.5722	113368	14332.2	19.3267		44573.5			N.A.	9432 JP	324667	Telecommunications	9437 JP		Telecommunications						322.011	308.944		
M&A	07/17/2016	ARM Ltd	ソフトバンクグループ		31593.84	Completed					87310.3	61.8798	79.1889	128081		2.25357		1896.16			N.A.	9984 JP	58786	"Telecommunications, Building Materials"	2243469Z LN		Semiconductors						876.148	1007.82		
M&A	08/24/2004	ＵＦＪホールディングス	三井住友ﾌｨﾅﾝｼｬﾙｸﾞﾙｰﾌﾟ		29900.37	Terminated						27.1035		34490.3		-26.3051		11696.1			N.A.	8316 JP	86781	Banks	8307 JP		Banks						517.919	492.006		34214.7
M&A	02/18/2005	ＵＦＪホールディングス	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		29798.99	Completed						25.3749		51513.7		-26.3051		11696.1			N.A.	8306 JP	138161	Banks	8307 JP		Banks						77.317	75.312		34214.7
M&A	09/22/2011	住友金属工業	日本製鉄		23791.69	Completed					4670.09	3.75005	14.5939	48848.7	2103.85	3.47801	12.0516	18713			N.A.	5401 JP	106226	Iron/Steel	5405 JP	23007	Iron/Steel						317.183	432.033	14.782	-0.104
M&A	09/08/2017	キオクシア	複数買収者	東芝	19467.88	Withdrawn	2037.39	4.13412	26.3875	29890.9									6502 JP	118131	Miscellaneous Manufactur			"Telecommunications, Home Furnishings, Computers, Semiconductors"	1519337D JP		Computers				358.776	317.913				
M&A	09/20/2017	キオクシア	複数買収者	東芝	17957.62	Completed	2037.39	4.13412	26.3875	29890.9									6502 JP	118131	Miscellaneous Manufactur			"Private Equity, Computers, Semiconductors"	1519337D JP		Semiconductors				358.776	317.913				
M&A	11/20/2015	関西国際空港及び大阪国際空港特定空港運営事業	複数買収者	新関西国際空港	17913.85	Completed	450.516	42.1296		585.495									0570194D JP	43	Engineering&Construction			"Telecommunications, Apparel, Home Builders, Home Furnishings, Engineering&Construction, Transportation, Electric"			Engineering&Construction									
M&A	06/27/2017	キオクシア	複数買収者	東芝	17796.76	Withdrawn	2037.39	4.13412	26.3875	29890.9									6502 JP	118131	Miscellaneous Manufactur			"Private Equity, Computers"	1519337D JP		Computers				358.776	317.913				
M&A	03/17/2006	ソフトバンク	ソフトバンクグループ	ﾎﾞｰﾀﾞﾌｫﾝ･ｸﾞﾙｰﾌﾟ	17527.54	Completed	22005.2	10.8539	31.3246	51125.8	87310.3	61.8798	79.1889	128081	15799.9	18.0708	48.2946	50620.6	VOD LN	96506	Telecommunications	9984 JP	58786	Telecommunications	9434 JP	47313	Telecommunications				0.111	0.094	876.148	1007.82	116.058	109.326
M&A	06/10/2003	りそなホールディングス	日本		16634.71	Completed										26.9868		7399.92			N.A.	1319293D JP		N.A.	8308 JP	20308	Banks								64.31	60.054
M&A	04/20/2005	イトーヨーカ堂ＳＨＣ	セブン‐イレブン･ジャパン		14594.72	Completed					2255.03	15.56	47.3577	11182.6	3002.85	6.94659	28.1027	30478.6			N.A.	8183 JP	6567	Retail	8264 JP	37162	Retail									
M&A	04/13/2001	ＮＫＫ	ＪＦＥスチール		12350.98	Completed					3987.84	3.34191	10.4733	33980.2	1232.96	5.05357	17.6339	10935.6			N.A.	5403 JP	42923	Iron/Steel	5404 JP	25653	Metal Fabricate/Hardware									
M&A	10/30/2009	ＪＸ金属	ＥＮＥＯＳ		11766.06	Completed					2473.53	0.908297	5.68064	73573.5	1192.15	1.35936	6.63903	31814.4			N.A.	5001 JP	6287	Oil&Gas	5016 JP	1390	Mining								59.002	50.808
M&A	12/16/1999	ＫＤＤ	ＫＤＤＩ		11330.13	Completed					16701.9	19.3695	45.0116	50439.5							N.A.	9433 JP	47320	Telecommunications	9431 JP	5289	Telecommunications						307.945	296.211		
M&A	05/13/2011	野村土地建物	野村ホールディングス	"大林組,ジャフコグループ株式会社,楽天損害保険"	11007.73	Completed					3799.31	8.44581		14167.3							"Insurance, Private Equity, Engineering&Construction"	8604 JP	26647	Diversified Finan Serv	5604349Z JP		Real Estate						80.307	75.959		
M&A	12/16/1999	日本移動通信　　　　 　　　　　　	ＫＤＤＩ		10710.13	Completed					16701.9	19.3695	45.0116	50439.5							N.A.	9433 JP	47320	Telecommunications	IDOZ JP		Telecommunications						307.945	296.211		
M&A	10/04/2000	東海銀行	ＵＦＪホールディングス		10613.8	Completed						-26.3051		11696.1		-19.042		6317.3			N.A.	8307 JP		Banks	8321 JP	11324	Banks							34214.7		
M&A	04/19/2000	三菱UFJ信託銀行	三菱ＵＦＪﾌｨﾅﾝｼｬﾙ･ｸﾞﾙｰﾌﾟ		9994.83	Completed						25.3749		51513.7		25.1558		6784.74			N.A.	8306 JP	138161	Banks	8402 JP	13733	Banks						77.317	75.312		
M&A	11/18/2019	Unnamed Target	Zホールディングス	"ソフトバンク,Naver[ﾈｲﾊﾞｰ]"	9293.29	Pending					2578.71	12.4779	65.4058	12260.2							"Internet, Telecommunications"	4689 JP	22531	Internet			Internet						14.971	11.419		
M&A	08/24/2010	三井住友信託銀行	三井住友ﾄﾗｽﾄ･ﾎｰﾙﾃﾞｨﾝｸﾞｽ		9200.26	Completed						22.2576		9992.97		24.0992		7441.26			N.A.	8309 JP	22139	Banks	8403 JP	20472	Banks						500.775	442.09		
M&A	12/18/2019	昭和電工マテリアルズ	昭和電工		9049.94	Completed					1606.61	4.02197	22.5251	12590.1	518.417	1.95863	24.2933	5567.76			N.A.	4004 JP	32373	Chemicals	4217 JP	23095	Chemicals						288.427	0.968	138.173	126.007
M&A	12/13/2016	"Plzensky Prazdroj AS,Plzensky Prazdroj Slovensko AS,Dreher Sorgyarak Zrt,Ursus Breweries SA,Asahi CE & Europe Services AG,Sabmiller Poland BV,Asahi Brands Europe AS,SABMiller Brands Korea Yuhan Hoesa"	ｱｻﾋｸﾞﾙｰﾌﾟﾎｰﾙﾃﾞｨﾝｸﾞｽ	ｱﾝﾊｲｻﾞｰ･ﾌﾞｯｼｭ･ｲﾝﾍﾞﾌﾞ	7755.52	Completed	18659	26.9668	58.1834	51415	3131.64	9.11093	37.9609	20542					ABI BB	163695	Beverages	2502 JP	29850	Beverages			Beverages				3.473	2.992	347.601	316.104		
