発表日	ﾀｰｹﾞｯﾄ会社名	買収側の社名	売却側の社名	発表時ﾃﾞｨｰﾙ総額(百万)	取引状況	売却側企業 12ｶ月EBITDA	売却側企業 12ｶ月営業利益率	売却側企業 12ｶ月粗利益率	売却側企業 過去12ｶ月売上高	買収側企業 12ｶ月EBITDA	買収側企業 12ｶ月営業利益率	買収側企業 12ｶ月粗利益率	買収側企業 過去12ｶ月売上高	ﾀｰｹﾞｯﾄ企業 12ｶ月EBITDA	ﾀｰｹﾞｯﾄ企業 12ｶ月営業利益率	ﾀｰｹﾞｯﾄ企業 12ｶ月粗利益率	ﾀｰｹﾞｯﾄ企業 過去12ｶ月売上高	売却側のﾃｨｯｶｰ	売却側企業 従業員総数	売却側企業 産業ｸﾞﾙｰﾌﾟ	買収側のﾃｨｯｶｰ	買収側企業 従業員総数	買収側企業 産業ｸﾞﾙｰﾌﾟ	ﾀｰｹﾞｯﾄ会社のﾃｨｯｶｰ	ﾀｰｹﾞｯﾄ企業 従業員総数	ﾀｰｹﾞｯﾄ企業 産業ｸﾞﾙｰﾌﾟ	売却側企業 付加価値	買収側企業 付加価値	ﾀｰｹﾞｯﾄ企業 付加価値	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	売却側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	買収側企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)来年度予想 1株当利益(EPS)	ﾀｰｹﾞｯﾄ企業 ﾌﾞﾙｰﾑﾊﾞｰｸﾞｺﾝｾﾝｻｽ(BEst)本年度予想 1株当利益(EPS)		売却側企業 EBITDA
04/29/2018	ｽﾌﾟﾘﾝﾄ	TﾓﾊﾞｲﾙUS	ソフトバンクグループ	68014.33	Completed	87310.3	61.8798	79.1889	128081	27872	10.7436	56.1244	79322	10086	-2.82211	58.0781	32458	9984 JP	58786	Telecommunications	TMUS US	75000	Telecommunications	1897377D US	28500	Telecommunications				876.148	1007.82	3.444	2.465	-0.229	-0.24		84744.8
12/23/2019	汐留 Z ホールディングス合同会社	Naver[ﾈｲﾊﾞｰ]	ソフトバンク	27313.06	Pending	15799.9	18.0708	48.2946	50620.6	1444.85	20.5422		5319.71					9434 JP	47313	Telecommunications	035420 KS		Internet	1766442D JP		Investment Companies				116.058	109.326	11393.1	101096				15726.1
04/06/2021	東芝	CVC Advisers Ltd		20775.31	Withdrawn					10.0471	6.6899	6.6899	100.812	2037.39	4.13412	26.3875	29890.9			N.A.	2270Z LN	150	Private Equity	6502 JP	118131	Miscellaneous Manufactur								358.776	317.913		
06/11/2020	ｼﾞｪｲ ｴﾌ ｲｰ ﾎｰﾙﾃﾞｨﾝｸﾞｽ	Potential Buyer		20734.38	Proposed									3279.7	3.13327	12.6283	31674.6			N.A.			Investment Companies	5411 JP	64371	Iron/Steel								317.775	430.558		
08/25/2021	キオクシアホールディングス	ｳｴｽﾀﾝﾃﾞｼﾞﾀﾙ	"ＨＯＹＡ,東芝,Bcpe Pangea Holdings Cayman LP"	20000	Proposed					2482	7.20955	26.7167	16922	2195.15	-17.532	0.0678664	9081.34			"Investment Companies, Electronics, Miscellaneous Manufactur"	WDC US	65600	Computers	6600 JP	12374	Semiconductors						11.16	10.26				
09/13/2020	ARM Ltd	ｴﾇﾋﾞﾃﾞｨｱ	ソフトバンクグループ	17621.85	Pending	87310.3	61.8798	79.1889	128081	8618	33.3607	63.7576	21897		2.25357		1896.16	9984 JP	58786	Telecommunications	NVDA US	13532	Semiconductors	2243469Z LN		Semiconductors				876.148	1007.82	4.613	4.114				84744.8
05/09/2018	ﾌﾘｯﾌﾟｶｰﾄ･ｵﾝﾗｲﾝ･ｻｰﾋﾞｼｽﾞ	ｳｫﾙﾏｰﾄ	"ﾏｲｸﾛｿﾌﾄ,ﾅｽﾊﾟｰｽﾞ,Unknown Seller,ソフトバンクグループ (ﾌｧﾝﾄﾞ: SoftBank Vision Fund LP)"	16000	Completed					36420	4.50909	25.0978	566145							"Media, Telecommunications, Investment Companies, Software"	WMT US	2300000	Retail	8764174Z IN		Internet						6.625	6.353				
08/21/2020	日本ペイントホールディングス	複数買収者		13718.29	Completed									1250.32	10.8123	40.1596	8766.67			N.A.			Investment Companies	4612 JP	27318	Chemicals								38.003	33.666		
09/20/2001	ソフトバンク	ﾎﾞｰﾀﾞﾌｫﾝ･ｸﾞﾙｰﾌﾟ		10914.72	Completed					22005.2	10.8539	31.3246	51125.8	15799.9	18.0708	48.2946	50620.6			N.A.	VOD LN	96506	Telecommunications	9434 JP	47313	Telecommunications						0.111	0.094	116.058	109.326		
06/21/2016	スーパーセル	複数買収者	"ソフトバンクグループ,マネージメントグループ,プライベート･インベスター,Unnamed Seller"	8600	Completed															"Telecommunications, Investment Companies, Software"			"Internet, Apparel, Holding Companies-Divers, Banks, Diversified Finan Serv, Private Equity"	8373809Z FH		Software											
